Id,SalePrice
1461,119555.911256
1462,162249.547691
1463,172513.644484
1464,193643.908944
1465,205081.030666
1466,178097.966908
1467,188152.3881
1468,166616.092733
1469,195296.846507
1470,110089.055131
1471,200417.768363
1472,110893.40353
1473,100483.999618
1474,155630.242861
1475,131229.010611
1476,364209.999521
1477,265912.577549
1478,313061.808
1479,299485.740768
1480,443047.427405
1481,322221.339638
1482,223430.780067
1483,194044.578639
1484,180895.484909
1485,175086.650929
1486,205483.376498
1487,336420.669852
1488,265667.751366
1489,194609.871143
1490,200974.162126
1491,206820.183479
1492,98001.7608361
1493,201795.508172
1494,301610.99642
1495,295730.082535
1496,211990.749125
1497,193162.132188
1498,161318.237459
1499,160503.031778
1500,148873.628321
1501,161161.02916
1502,147963.450402
1503,273692.645024
1504,239694.344631
1505,219346.658499
1506,210657.729487
1507,235889.817561
1508,199650.779642
1509,164602.15674
1510,143363.29861
1511,142484.691078
1512,170586.352625
1513,158851.437357
1514,160292.955347
1515,203806.412552
1516,165895.10309
1517,168365.788704
1518,159171.164587
1519,219445.255653
1520,119322.64532
1521,126038.507652
1522,169706.4499
1523,107079.278987
1524,122152.250551
1525,122053.551482
1526,116660.652296
1527,95031.1400796
1528,154225.218217
1529,133848.313186
1530,204618.73435
1531,95109.8402997
1532,99195.9669935
1533,148802.970766
1534,136850.3127
1535,160269.308394
1536,120220.126419
1537,53835.7686421
1538,202866.267322
1539,213394.52679
1540,104824.066559
1541,148535.728445
1542,139238.475126
1543,197312.239742
1544,85652.3814313
1545,119903.716147
1546,116432.73105
1547,121502.995973
1548,140976.8303
1549,113096.556642
1550,121574.731307
1551,116582.370326
1552,135566.31275
1553,148954.453118
1554,130930.286702
1555,151150.882775
1556,91893.8165344
1557,99980.7113484
1558,99804.5849979
1559,67896.2235862
1560,133880.488974
1561,118340.73943
1562,126013.305557
1563,112461.99109
1564,150598.085751
1565,139341.366991
1566,235185.769329
1567,75487.7065034
1568,209608.540845
1569,106867.032361
1570,135045.237325
1571,108561.002534
1572,144899.282698
1573,224657.144056
1574,132858.166308
1575,210052.23035
1576,254153.652302
1577,191092.61375
1578,149180.102102
1579,138215.072316
1580,197967.217893
1581,160014.888584
1582,118847.035345
1583,313321.409882
1584,234752.592689
1585,140715.736967
1586,69142.4355195
1587,99690.8758408
1588,143008.4899
1589,105251.531836
1590,139294.441776
1591,94587.5477246
1592,123454.088491
1593,119164.312417
1594,129256.177303
1595,93080.372644
1596,211362.947904
